date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted
2020/9/9,117.260002,119.139999,115.260002,117.32,176940500,117.117943
2020/9/8,113.949997,118.989998,112.68,112.82,231366600,112.625694
2020/9/4,120.07,123.699997,110.889999,120.959999,332607200,120.751671
2020/9/3,126.910004,128.839996,120.5,120.879997,257599600,120.671806
2020/9/2,137.589996,137.979996,127,131.399994,200119000,131.173691
2020/9/1,132.759995,134.800003,130.529999,134.179993,152470100,133.948898
2020/8/31,127.580002,131,126,129.039993,225702700,128.817749
2020/8/28,126.012497,126.442497,124.577499,124.807503,187630000,124.592552
2020/8/27,127.142502,127.485001,123.832497,125.010002,155552400,124.794701
2020/8/26,126.18,126.9925,125.082497,126.522499,163022400,126.304596
2020/8/25,124.697502,125.18,123.052498,124.824997,211495600,124.610016
2020/8/24,128.697495,128.785004,123.9375,125.857498,345937600,125.640739
2020/8/21,119.262497,124.8675,119.25,124.370003,338054800,124.1558
2020/8/20,115.75,118.392502,115.732498,118.275002,126907200,118.071297
2020/8/19,115.982498,117.162498,115.610001,115.707497,145538000,115.508217
2020/8/18,114.352501,116,114.0075,115.5625,105633600,115.363472
2020/8/17,116.0625,116.087502,113.962502,114.607498,119561600,114.41011
2020/8/14,114.830002,115,113.044998,114.907501,165565200,114.709602
2020/8/13,114.43,116.042503,113.927498,115.010002,210082000,114.81192
2020/8/12,110.497498,113.275002,110.297501,113.010002,165944800,112.815369
2020/8/11,111.970001,112.482498,109.107498,109.375,187902400,109.186623
2020/8/10,112.599998,113.775002,110,112.727501,212403600,112.533356
2020/8/7,113.205002,113.675003,110.292503,111.112503,198045600,110.921135
2020/8/6,110.404999,114.412498,109.797501,113.902496,202428800,113.501678
2020/8/5,109.377502,110.392502,108.897499,110.0625,121992000,109.675194
2020/8/4,109.1325,110.790001,108.387497,109.665001,173071600,109.279099
2020/8/3,108.199997,111.637497,107.892502,108.9375,308151200,108.554153
2020/7/31,102.885002,106.415001,100.824997,106.260002,374336800,105.886086
2020/7/30,94.1875,96.297501,93.767502,96.190002,158130000,95.851517
2020/7/29,93.75,95.230003,93.712502,95.040001,90329200,94.705559
2020/7/28,94.3675,94.550003,93.247498,93.252502,103625600,92.924355
2020/7/27,93.709999,94.904999,93.480003,94.809998,121214000,94.476364
