date,AMZN.Open,AMZN.High,AMZN.Low,AMZN.Close,AMZN.Volume,AMZN.Adjusted
2020/10/30,3157.75,3167,3019,3036.149902,8386400,3036.149902
2020/10/29,3201.27002,3257.25,3164,3211.01001,6596500,3211.01001
2020/10/28,3249.300049,3264.02002,3162.469971,3162.780029,5588300,3162.780029
2020/10/27,3224.939941,3291.659912,3211.300049,3286.330078,4291000,3286.330078
2020/10/26,3198.73999,3282.97998,3153.300049,3207.040039,5901200,3207.040039
2020/10/23,3191,3205.330078,3140,3204.399902,3466700,3204.399902
2020/10/22,3189.870117,3198.75,3121.939941,3176.399902,4212000,3176.399902
2020/10/21,3212.5,3233.879883,3160,3184.939941,4592700,3184.939941
2020/10/20,3222.280029,3266,3192.01001,3217.01001,4509700,3217.01001
2020/10/19,3299.610107,3329,3192.73999,3207.209961,5223600,3207.209961
2020/10/16,3363.22998,3399.659912,3160,3272.709961,6474400,3272.709961
2020/10/15,3292.01001,3355.879883,3280,3338.649902,5223400,3338.649902
2020/10/14,3447,3464.879883,3340,3363.709961,5828900,3363.709961
2020/10/13,3467.98999,3492.379883,3424.219971,3443.629883,5744700,3443.629883
2020/10/12,3349.939941,3496.23999,3339.550049,3442.929932,8364200,3442.929932
2020/10/9,3210,3288.98999,3197.830078,3286.649902,4907900,3286.649902
2020/10/8,3224.98999,3233.290039,3174.98999,3190.550049,3174100,3190.550049
2020/10/7,3135,3200,3132.389893,3195.689941,4309400,3195.689941
2020/10/6,3165,3182,3090,3099.959961,5086900,3099.959961
2020/10/5,3145.840088,3202.530029,3140.850098,3199.199951,3775300,3199.199951
2020/10/2,3153.629883,3195.800049,3123,3125,5613100,3125
2020/10/1,3208,3224,3172,3221.26001,4971900,3221.26001
2020/9/30,3141.139893,3212.879883,3133.98999,3148.72998,4883400,3148.72998
2020/9/29,3175.389893,3188.26001,3132.540039,3144.879883,3495800,3144.879883
2020/9/28,3148.850098,3175.040039,3117.169922,3174.050049,4224200,3174.050049
2020/9/25,3054.860107,3101.540039,2999,3095.129883,4615200,3095.129883
2020/9/24,2977.790039,3069.300049,2965,3019.790039,5529400,3019.790039
2020/9/23,3120.429932,3127,2992.379883,2999.860107,5652700,2999.860107
2020/9/22,3033.840088,3133.98999,3000.199951,3128.98999,6948800,3128.98999
2020/9/21,2906.5,2962,2871,2960.469971,6117900,2960.469971
2020/9/18,3031.73999,3037.800049,2905.540039,2954.909912,8892600,2954.909912
2020/9/17,3009.25,3029.429932,2972.550049,3008.72998,6449100,3008.72998
2020/9/16,3179.98999,3187.23999,3074.149902,3078.100098,4512200,3078.100098
2020/9/15,3136.159912,3175.02002,3108.919922,3156.129883,4021500,3156.129883
2020/9/14,3172.939941,3187.389893,3096,3102.969971,4529600,3102.969971
2020/9/11,3208.689941,3217.340088,3083.97998,3116.219971,5094000,3116.219971
2020/9/10,3307.219971,3349.889893,3170.550049,3175.110107,5330700,3175.110107
2020/9/9,3202.98999,3303.179932,3185,3268.610107,5188700,3268.610107
